year,week,title,pkgs,code_fpath,img_fpath,code_type,afrilearndata,biscale,camcorder,changepoint,charlatan,circlize,clustMixType,ComplexHeatmap,countrycode,cowplot,creepr,cropcircles,D3,devtools,doBy,dplyr,elementalist,emoji,emojifont,extrafont,forcats,funspotr,geofacet,geomtextpath,ggalluvial,ggalt,gganimate,ggbeeswarm,ggbump,ggcalendar,ggchicklet,ggdist,ggforce,ggfx,ggh4x,gghalves,gghighlight,ggHoriPlot,ggimage,ggiraph,gglgbtq,ggmagnify,ggmap,ggnetwork,ggnewscale,ggpattern,ggplot2,ggpol,ggradar,ggragged,ggraph,ggrepel,ggridges,ggsankey,ggsci,ggside,ggspatial,ggstream,ggtern,ggtext,ggtextcircle,ggwordcloud,gh,ghibli,glue,grDevices,grid,gridExtra,gt,gtable,here,highlight_text,hms,hrbrthemes,htmlwidgets,igraph,imager,itertools,janitor,jcolors,leaflet,lemon,LondonMarathon,lubridate,lwgeom,magick,magrittr,maps,maptools,marquee,matplotlib,MetBrewer,monochromeR,nrBrand,openxlsx,os,osmdata,packcircles,pals,pandas,patchwork,plotly,plotnine,plyr,png,poissoned,popthemes,posit,PostcodesioR,PrettyCols,purrr,PyDyTuesday,pyfonts,ragg,raster,rcartocolor,RColorBrewer,RCurl,readr,readxl,remotes,rgdal,rKenyaCensus,rlang,rnaturalearth,rnaturalearthdata,rsvg,scales,sf,sfheaders,shadowtext,showtext,snakecase,sp,spatstat,spatstat.geom,spData,spDataLarge,spiralize,statebins,stringr,SveltePlot,sysfonts,systemfonts,tayloRswift,terra,tibble,tidyr,tidyterra,tidytext,tidytuesdayR,tidyverse,tigris,tm,tmap,tools,transformr,treemapify,tsibble,usefunc,usmap,viridis,VoronoiPlus,waffle,WeightedTreemaps,wordcloud2
2019,2019-05-14,Nobel Prize Laureates,"tidyverse, showtext, patchwork, camcorder, ggtext, nrBrand, glue, tidytuesdayR",2019/2019-05-14/20190514.R,2019/2019-05-14///20190514-light.png,R,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,2020-10-27,Canadian Wind Turbines,"tidyverse, showtext, camcorder, ggtext, nrBrand, glue, marquee, waffle, ragg, openxlsx, readr, sysfonts, stringr, dplyr, rcartocolor",2020/2020-10-27/20201027.R,2020/2020-10-27///20201027.png,R,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2021,01-06-2021,Survivor: Viewership,"tidyverse, extrafont, cowplot, magick, tidytuesdayR",2021/01-06-2021/01062021.R,2021/01-06-2021///01062021.jpg,R,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,02-02-2021,HBCU Enrollment,"readxl, glue, ggplot2",2021/02-02-2021/02022021.R,2021/02-02-2021///02022021.jpg,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,02-03-2021,2020 Superbowl Commercials,"tidyverse, tidytuesdayR",2021/02-03-2021/02032021.R,2021/02-03-2021///02032021.jpg,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,02-11-2021,Glasgow Goes Global,"sf, raster, dplyr, spData, spDataLarge, tmap, leaflet, ggplot2, maptools, sp",2021/02-11-2021/02112021.R,2021/02-11-2021///02112021.png,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021,03-08-2021,Team GB v Team USA,"tidyverse, extrafont, patchwork, cowplot, gt, scales, tidytuesdayR",2021/03-08-2021/03082021.R,2021/03-08-2021///03082021.jpg,R,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,04-05-2021,Water Access Points,"tidyverse, rnaturalearth, rnaturalearthdata, extrafont, patchwork, tidytuesdayR",2021/04-05-2021/04052021.R,2021/04-05-2021///04052021.jpg,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,05-01-2021,Transit Costs Project,"tidytuesdayR, tidyverse, countrycode",2021/05-01-2021/05012021.R,2021/05-01-2021///05012021.jpg,R,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,05-10-2021,Hourly Wages of Registered Nurses,"tidyverse, geofacet, extrafont, cowplot, usefunc, devtools, tidytuesdayR",2021/05-10-2021/05102021.R,2021/05-10-2021///05102021.jpg,R,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
